Top queries,Clicks,Impressions,CTR,Position
dispensary u street,0,60,0%,9.75
dispensary on u street,0,60,0%,9.77
congress park dispensary,0,60,0%,40.45
washington dc cannabis delivery hotel,0,60,0%,44.88
washington cannabis delivery service,0,60,0%,73.7
how to open a dispensary in washington dc,0,60,0%,78.58
nerds ropes edibles,0,60,0%,82.6
cali gold strain,0,59,0%,55.76
dc mushrooms dispensary,0,59,0%,68.19
cali gold cartridge,0,59,0%,75.95
marijuana delivery washington dc,0,59,0%,87.54
mota jelly 200mg thc,0,58,0%,58.67
weed edibles washington dc,0,58,0%,63.69
u st dispensary,0,57,0%,10.47
marijuana attorney washington dc,0,57,0%,23.44
dispensary open now dc,0,57,0%,51.82
can you buy shrooms in dc,0,57,0%,77.98
nerd rope edible,0,57,0%,83.54
cannabis attorney washington dc,0,56,0%,26.41
nerd ropes thc,0,56,0%,73.34
dc kush,0,56,0%,76.82
how to use a cannabis cannabis delivery service in dc,0,56,0%,84.75
district of columbia cbd,0,56,0%,84.86
initiative 71,0,55,0%,29.02
recreational dispensary baltimore,0,55,0%,67.02
dispensary capitol hill,0,54,0%,13.06
cannabis skittles,0,54,0%,50.07
weed delivery services dc,0,54,0%,92.61
storage in burleith dc,0,53,0%,19.08
how to use a canabis cannabis delivery service in dc,0,53,0%,84.77
cbd wheel washington dc,0,52,0%,6.77
lawyer services,0,52,0%,19.35
dispensaries in georgetown washington dc,0,51,0%,10.88
thc edibles nerds rope,0,51,0%,70.27
marijuana lawyer washington dc,0,50,0%,20.24
takoma park dispensary,0,50,0%,55.76
storage in mount pleasant dc,0,50,0%,62.62
best dispensary in washington,0,50,0%,73.54
washington dc pot delivery,0,50,0%,76.2
weed delivery mclean va,0,50,0%,81.72
weed pickup dc,0,50,0%,82.24
can i buy weed in dc,0,50,0%,86.3
storage in burleith,0,49,0%,37.33
circle dispensary,0,49,0%,58.9
weed delivery maryland dc,0,49,0%,59.55
wheres the weed dc,0,49,0%,72.33
cannabis edibles washington dc,0,49,0%,74.9
alexandria dispensary,0,49,0%,79
peanut butter souffle,0,48,0%,15.1
mota indica,0,48,0%,37.12
dispensary dc open now,0,48,0%,41.94
marijuana dispensaries washington,0,48,0%,46.21
mt pleasant dispensary,0,48,0%,53.44
dc marijuana,0,48,0%,63.23
cannabis dispensaries near me,0,47,0%,32.3
dispensary shopping experience,0,47,0%,55.77
medical dispensary washington,0,47,0%,64.94
weed club,0,47,0%,73.6
washington dc cannabis delivery service,0,47,0%,84.77
dispensary u street dc,0,46,0%,10.22
marijuana dc,0,46,0%,70.78
storage in foggy bottom dc,0,46,0%,70.78
washington dc mushroom shop,0,46,0%,71.3
gifting dispensaries dc,0,46,0%,75.63
washington marijuana lawyer,0,46,0%,90.67
sls baltimore photos,0,45,0%,4.93
cannabis coupon,0,45,0%,29.64
adams morgan weed delivery,0,45,0%,31.67
